txn_id,txn_date,store_id,product_id,units_sold,promo_id,revenue,cost,profit
TXN10105,2026-02-01,S08,P03,6,,372,288,84
TXN10106,2026-01-09,S05,P06,9,,315,180,135
TXN10107,2026-01-12,S08,P10,5,,825,625,200
TXN10108,2026-01-28,S05,P10,6,,990,750,240
TXN10109,2026-02-21,S03,P06,1,,35,20,15
TXN10110,2026-02-01,S03,P06,4,,140,80,60
TXN10111,2026-02-23,S01,P08,1,,161,120,41
TXN10112,2026-02-05,S06,P10,1,,165,125,40
TXN10113,2026-01-27,S05,P06,7,,245,140,105
TXN10114,2026-02-12,S04,P07,1,,88,55,33
TXN10115,2026-02-13,S06,P03,5,,310,240,70
TXN10116,2026-02-23,S08,P04,8,,360,200,160
TXN10117,2026-01-28,S04,P01,7,PR03,385,322,63
TXN10118,2026-02-13,S04,P10,2,,330,250,80
TXN10119,2026-01-27,S05,P12,10,,550,320,230
TXN10120,2026-02-01,S01,P11,1,,199,120,79
TXN10121,2026-02-07,S04,P09,7,,1960,1470,490
TXN10122,2026-02-27,S06,P12,12,,660,384,276
TXN10123,2026-01-09,S07,P12,10,,550,320,230
TXN10124,2026-01-28,S01,P12,1,,55,32,23
TXN10125,2026-01-19,S07,P09,10,,2800,2100,700
TXN10126,2026-02-09,S07,P06,12,,420,240,180
TXN10127,2026-02-13,S03,P02,5,,210,150,60
TXN10128,2026-02-07,S01,P02,3,,126,90,36
TXN10129,2026-01-23,S03,P08,12,,1932,1440,492
TXN10130,2026-02-22,S06,P01,9,,522,414,108
TXN10131,2026-01-27,S03,P08,11,PR01,1507,1320,187
TXN10132,2026-01-27,S07,P08,4,,644,480,164
TXN10133,2026-01-05,S08,P03,8,,496,384,112
TXN10134,2026-02-06,S06,P10,6,,990,750,240
TXN10135,2026-01-10,S07,P05,8,,480,280,200
TXN10136,2026-02-12,S08,P03,9,,558,432,126
TXN10137,2026-02-23,S05,P07,8,,704,440,264
TXN10138,2026-01-06,S07,P01,1,,58,46,12
TXN10139,2026-02-02,S08,P01,1,,58,46,12
TXN10140,2026-01-23,S06,P08,1,,161,120,41
TXN10141,2026-02-09,S03,P03,9,,558,432,126
TXN10142,2026-02-20,S01,P08,8,,1288,960,328
TXN10143,2026-02-06,S04,P08,5,PR01,685,600,85
TXN10144,2026-01-16,S02,P09,9,,2520,1890,630
TXN10145,2026-02-06,S08,P12,6,,330,192,138
TXN10146,2026-02-11,S06,P12,11,PR04,528,352,176
TXN10147,2026-01-14,S08,P07,12,,1056,660,396
TXN10148,2026-02-01,S02,P04,12,,540,300,240
TXN10149,2026-02-06,S08,P01,8,,464,368,96
TXN10150,2026-02-25,S03,P12,3,,165,96,69
TXN10151,2026-01-17,S05,P05,3,,180,105,75
TXN10152,2026-02-01,S08,P08,4,PR01,548,480,68
TXN10153,2026-02-23,S04,P03,7,,434,336,98
TXN10154,2026-02-05,S06,P07,11,,968,605,363
TXN10155,2026-02-05,S04,P08,6,,966,720,246
TXN10156,2026-01-01,S06,P05,3,,180,105,75
TXN10157,2026-01-02,S06,P05,4,,240,140,100
TXN10158,2026-01-03,S02,P08,4,,644,480,164
TXN10159,2026-02-12,S04,P09,2,,560,420,140
TXN10160,2026-01-20,S02,P04,8,,360,200,160
TXN10161,2026-02-18,S03,P08,6,PR01,822,720,102
TXN10162,2026-02-21,S02,P05,11,,660,385,275
TXN10163,2026-02-10,S08,P06,3,,105,60,45
TXN10164,2026-01-23,S05,P10,12,,1980,1500,480
TXN10165,2026-02-05,S04,P02,11,,462,330,132
TXN10166,2026-01-06,S02,P01,11,,638,506,132
TXN10167,2026-02-27,S05,P07,8,,704,440,264
TXN10168,2026-02-23,S05,P09,7,,1960,1470,490
TXN10169,2026-02-24,S08,P02,3,,126,90,36
TXN10170,2026-01-25,S04,P09,7,,1960,1470,490
TXN10171,2026-02-21,S03,P05,8,,480,280,200
TXN10172,2026-01-28,S08,P03,8,,496,384,112
TXN10173,2026-01-23,S05,P09,7,,1960,1470,490
TXN10174,2026-01-09,S02,P06,1,,35,20,15
TXN10175,2026-02-15,S01,P02,5,,210,150,60
TXN10176,2026-02-28,S05,P06,5,,175,100,75
TXN10177,2026-02-14,S06,P06,5,,175,100,75
TXN10178,2026-01-07,S03,P08,4,,644,480,164
TXN10179,2026-02-26,S07,P05,2,,120,70,50
TXN10180,2026-01-04,S01,P10,7,,1155,875,280
TXN10181,2026-02-20,S05,P11,3,,597,360,237
TXN10182,2026-01-24,S02,P12,6,,330,192,138
TXN10183,2026-01-22,S01,P05,1,,60,35,25
TXN10184,2026-02-26,S04,P05,1,,60,35,25
TXN10185,2026-01-11,S07,P03,2,,124,96,28
TXN10186,2026-02-20,S06,P10,12,,1980,1500,480
TXN10187,2026-02-01,S08,P03,9,,558,432,126
TXN10188,2026-02-20,S07,P03,1,,62,48,14
TXN10189,2026-01-08,S08,P12,3,,165,96,69
TXN10190,2026-02-08,S01,P12,9,,495,288,207
TXN10191,2026-01-01,S06,P09,10,,2800,2100,700
TXN10192,2026-01-21,S07,P03,7,,434,336,98
TXN10193,2026-02-28,S01,P04,11,,495,275,220
TXN10194,2026-02-18,S05,P03,1,,62,48,14
TXN10195,2026-02-26,S01,P12,5,,275,160,115
TXN10196,2026-01-21,S08,P10,2,,330,250,80
TXN10197,2026-02-03,S03,P01,8,,464,368,96
TXN10198,2026-02-22,S06,P08,1,,161,120,41
TXN10199,2026-01-13,S05,P06,10,,350,200,150
TXN10200,2026-01-12,S04,P02,12,,504,360,144
TXN10201,2026-02-04,S02,P08,8,PR01,1096,960,136
TXN10202,2026-02-13,S04,P05,6,,360,210,150
TXN10203,2026-02-09,S01,P08,8,,1288,960,328
TXN10204,2026-01-09,S07,P06,10,,350,200,150
TXN10205,2026-01-11,S04,P08,5,,805,600,205
TXN10206,2026-02-23,S08,P06,12,,420,240,180
TXN10207,2026-01-16,S01,P06,11,,385,220,165
TXN10208,2026-02-13,S04,P10,5,,825,625,200
TXN10209,2026-02-26,S03,P12,1,,55,32,23
TXN10210,2026-01-15,S06,P06,4,,140,80,60
TXN10211,2026-01-02,S03,P04,3,,135,75,60
TXN10212,2026-01-03,S06,P02,4,,168,120,48
TXN10213,2026-02-03,S07,P02,9,,378,270,108
TXN10214,2026-02-06,S04,P05,8,,480,280,200
TXN10215,2026-02-14,S03,P10,11,,1815,1375,440
TXN10216,2026-02-06,S06,P06,5,,175,100,75
TXN10217,2026-01-24,S08,P04,5,,225,125,100
TXN10218,2026-01-11,S03,P09,5,,1400,1050,350
TXN10219,2026-02-28,S06,P10,7,,1155,875,280
TXN10220,2026-02-01,S07,P11,8,,1592,960,632
